city,state,2021_rank,2021_us_news_overall_score,2021_quality_of_life,2021_value,2019_rank,2019_us_news_overall_score,2019_us_news_state_overall_rank,2019_data_scientist_job_postings
St. Louis,MO,99,6.3,5.4,7.7,78,6.3,28,25
Baltimore,MD,100,6.3,5.8,6.7,83,6.1,6,94
Reading,PA,101,6.3,7,6.9,121,6.3,41,2
Chicago,IL,102,6.3,6.3,6.1,43,6.1,35,99
Wichita,KS,103,6.3,6.3,7.5,62,6.4,22,5
Cleveland,OH,104,6.3,6,7.5,69,6.3,39,8
Virginia Beach,VA,105,6.3,6.1,5.7,54,6.1,7,9
Providence,RI,106,6.3,6.7,6,119,6.3,26,6
Baton Rouge,LA,107,6.2,5.6,7.7,124,6,50,1
Allentown,PA,108,6.2,6.6,6.4,107,6.2,41,1
Springfield,MA,109,6.2,7,5.7,47,6.3,8,16
Scranton,PA,110,6.2,6.7,7.3,101,6.2,41,0
New Haven,CT,111,6.2,6.8,5.3,63,6.2,21,2
Philadelphia,PA,112,6.2,6.1,6.2,120,6.1,41,51
Honolulu,HI,113,6.2,6.6,3.9,103,6.6,24,5
Killeen,TX,114,6.2,5.7,6.6,93,6.1,38,0
Santa Barbara,CA,115,6.2,7.5,3.5,113,6.5,19,1
Toledo,OH,116,6.2,6.3,7.7,89,6.2,39,0
Trenton,NJ,117,6.1,6.5,5.3,0,0,0,0
New York,NY,118,6.1,6.6,3.8,50,6.3,25,214
Huntington,WV,119,6.1,6.4,7.2,0,0,0,0
Albuquerque,NM,120,6.1,6.1,6.2,99,6.1,46,1
Santa Rosa,CA,121,6.1,7.4,4.2,41,6.5,19,0
Montgomery,AL,122,6.1,5.9,7,0,0,0,0
Lafayette,LA,123,6.1,5.7,7.5,117,6.2,50,0
Beaumont,TX,124,6.1,5.5,7.6,79,6,38,0
Youngstown,OH,125,6.1,6.3,7.8,110,6.2,39,0
Los Angeles,CA,126,6.1,6.5,3.3,51,6.1,19,68
Detroit,MI,127,6,5.9,7.4,70,6.3,33,14
Miami,FL,128,6,7.1,2.8,60,5.8,13,11
Corpus Christi,TX,129,6,6.9,6,86,6.1,38,0
Jackson,MS,130,5.9,5.4,7.2,123,5.9,48,0
El Paso,TX,131,5.9,6.7,5.6,109,6,38,0
Mobile,AL,132,5.9,6,6.3,116,5.5,49,1
Rockford,IL,133,5.8,5.8,7.4,0,0,0,0
Gulfport,MS,134,5.8,5.7,6.3,0,0,0,0
Vallejo,CA,135,5.8,5.8,4.6,0,0,0,0
Fresno,CA,136,5.8,6.2,4.7,98,5.5,19,1
Las Vegas,NV,137,5.8,6.4,5.4,57,6.5,37,0
New Orleans,LA,138,5.7,5.8,5.4,118,5.7,50,0
McAllen,TX,139,5.7,7.1,5.4,92,5.9,38,0
Brownsville,TX,140,5.6,7.2,5.4,81,5.7,38,0
Salinas,CA,141,5.6,7.2,3.6,115,5.6,19,2
Fayetteville,NC,142,5.5,5.5,5.7,0,0,0,0
Memphis,TN,143,5.5,4.1,6.2,106,5.6,30,4
Flint,MI,144,5.5,4.9,7,114,5.7,33,0
Shreveport,LA,145,5.5,5.4,6.1,122,5.4,50,0
Modesto,CA,146,5.5,5.8,4.8,96,5.5,19,0
Stockton,CA,147,5.4,5.1,4.8,90,5.4,19,0
Bakersfield,CA,148,5.4,5.2,5.1,94,5.3,19,0
Visalia,CA,149,5.2,6.4,4.5,0,0,0,0
San Juan,PR,150,3.8,2.8,2.5,125,3.2,0,0
