city,state,2021_rank,2021_us_news_overall_score,2021_quality_of_life,2021_value,2019_rank,2019_us_news_overall_score,2019_us_news_state_overall_rank,2019_data_scientist_job_postings,city_state,state_name,average_salary_state,hourly_rate_state,job_count_state,average_salary_city,hourly_rate_city,population,population2010,race_white,race_black,race_ameri_es,race_asian,race_hawaiian_pi,race_hispanic,race_other,race_multi,males,females,age_under_5,age_5to9,age_10to14,age_15to19,age_20to24,age_25to34,age_35to44,age_45to54,age_55to64,age_65to74,age_75to84,age_over_85,median_age,household_count,average_household_size,families_count,average_family_size,house_units_count,vacant_house_count,owner_occupied_house,renter_occupied_house,population_growth
Daytona Beach,FL,69,6.6,6.6,4.8,74,6.1,13,0,Daytona Beach-FL,Florida,76936,36.99,1801,76936,36.99,65151,61005,35265,21585,216,1374,27,3755,1116,1422,30490,30515,3193,2462,2381,5071,7424,7229,5981,8215,7735,5475,3891,1948,39.8,27314,2.05,12688,2.79,33920,6606,12583,14731,4146
Buffalo,NY,70,6.6,6.8,7.8,31,6.7,25,3,Buffalo-NY,New York,102130,49.1,2735,102427,49.24,260428,261310,131753,100774,2009,8409,119,27519,10247,7999,125208,136102,17402,16389,16662,21382,26056,38051,30521,36587,28447,15445,10196,4172,33.4,112536,2.24,57186,3.07,133444,20908,45836,66700,-882
Pittsburgh,PA,71,6.6,6.4,8.1,56,6.7,41,20,Pittsburgh-PA,Pennsylvania,89722,43.14,1804,90231,43.38,309419,305704,201766,79710,584,13465,86,6964,2405,7688,148101,157603,15109,13026,12848,24349,42212,51740,31990,37894,34385,19689,15115,7347,33.5,136217,2.07,61741,2.87,156165,19948,64807,71410,3715
Rochester,NY,72,6.6,7.3,7.1,40,6.6,25,2,Rochester-NY,New York,102130,49.1,2735,102427,49.24,210249,210565,91951,87897,1013,6493,101,34456,13754,9356,101707,108858,15865,14002,13492,16625,22148,35405,26301,26977,20796,10463,5501,2990,31.0,87027,2.3,43688,3.15,97158,10131,32779,54248,-316
Fort Wayne,IN,73,6.6,6.0,8.6,44,6.7,36,0,Fort Wayne-IN,Indiana,79391,38.17,712,79391,38.17,263854,253691,186763,39085,939,8379,154,20200,9441,8930,122783,130908,19243,18558,18001,18558,18452,35650,31713,34593,28567,15178,10372,4806,34.5,101585,2.44,63001,3.09,113541,11956,64291,37294,10163
Lancaster,PA,74,6.6,7.2,6.7,67,6.7,41,8,Lancaster-PA,Pennsylvania,89722,43.14,1804,90231,43.38,61418,59322,32729,9683,433,1773,43,23329,11231,3430,29468,29854,4725,4100,3892,4943,6132,9861,7629,7470,5471,2920,1611,568,30.6,21793,2.58,12561,3.28,23377,1584,9567,12226,2096
San Antonio,TX,75,6.6,6.2,6.5,36,6.8,38,21,San Antonio-TX,Texas,87577,42.1,2563,88720,42.65,1442472,1327407,963413,91280,11800,32254,1504,838952,181625,45531,647690,679717,100480,99319,97421,102486,107623,197161,175669,174799,133845,74611,45911,18082,32.8,479642,2.71,318043,3.34,524246,44604,271070,208572,115065
Tallahassee,FL,76,6.6,5.8,7.8,0,0.0,0,0,Tallahassee-FL,Florida,76936,36.99,1801,76936,36.99,190760,181376,104171,63475,443,6653,100,11346,2361,4173,85358,96018,9898,8687,7827,20472,38734,29638,18079,17662,15621,7778,4721,2259,26.4,74815,2.23,34639,2.88,84248,9433,30986,43829,9384
Louisville,KY,77,6.6,5.8,7.8,100,6.5,40,9,Louisville-KY,Kentucky,78352,37.67,396,78352,37.67,372981,597337,421439,136705,1532,12903,398,26790,10487,13873,289236,308101,40246,38717,38775,39168,40930,84872,78119,89566,71722,39253,25642,10327,37.0,246438,2.37,150647,3.0,270928,24490,151917,94521,-224356
Spokane,WA,78,6.5,6.5,6.4,4,6.5,1,0,Spokane-WA,Washington,119916,57.65,1222,122139,58.72,218562,208916,181039,4843,4149,5358,1210,10467,2800,9517,101853,107063,14316,12698,12229,14530,18412,32357,25318,27947,24304,12917,8959,4929,35.0,87271,2.31,49204,2.97,94291,7020,50232,37039,9646
Springfield,MO,79,6.5,6.0,7.2,84,6.3,28,0,Springfield-MO,Missouri,80712,38.8,868,81195,39.04,168612,159498,141526,6524,1233,3015,267,5851,1889,5044,77326,82172,9584,7877,7106,11948,22058,24419,17118,19540,16727,10784,8128,4209,33.4,69754,2.13,35453,2.81,77620,7866,34290,35464,9114
Lakeland,FL,80,6.5,6.4,6.0,29,6.6,13,1,Lakeland-FL,Florida,76936,36.99,1801,76936,36.99,105330,97422,69011,20351,311,1758,87,12271,3293,2611,45687,51735,6068,5689,5361,6642,7802,12025,10617,11665,11354,9571,7309,3319,39.8,40758,2.29,24343,2.9,48218,7460,23079,17679,7908
Tucson,AZ,81,6.5,6.5,6.4,0,0.0,0,0,Tucson-AZ,Arizona,88333,42.47,831,88469,42.53,539162,520116,362649,26000,14154,14920,1147,216308,79239,22007,257312,262804,35798,33367,32033,41990,52541,77775,63317,66407,54995,31965,20672,9256,33.1,205390,2.43,116159,3.15,229762,24372,106651,98739,19046
Augusta,GA,82,6.5,6.2,6.9,52,6.5,17,3,Augusta-GA,Georgia,81997,39.42,1275,82140,39.49,199534,195844,76573,107182,672,3312,396,8053,2615,5094,94782,101062,14557,13079,12291,15290,17550,29781,22626,26669,21856,12293,7247,2605,33.2,75208,2.46,47325,3.09,84427,9219,40344,34864,3690
Worcester,MA,83,6.5,7.1,6.5,45,6.5,8,8,Worcester-MA,Massachusetts,94404,45.39,1684,94202,45.29,187887,181045,125706,21056,755,11034,85,37818,15195,7214,88150,92895,11874,10676,10480,15579,19054,26580,23500,24073,18071,9872,7282,4004,33.5,68613,2.46,39987,3.14,74645,6032,30530,38083,6842
Savannah,GA,84,6.5,6.2,6.2,0,0.0,0,0,Savannah-GA,Georgia,81997,39.42,1275,82140,39.49,148650,136286,52190,75507,352,2741,146,6392,2432,2918,65301,70985,9724,8198,7483,10817,16245,22145,15136,16602,14049,8098,5214,2575,31.6,52545,2.4,29948,3.1,61883,9338,24507,28038,12364
Dayton,OH,85,6.5,6.3,7.7,91,6.5,39,5,Dayton-OH,Ohio,87588,42.11,1164,86664,41.67,140450,141527,73193,60705,417,1206,52,4180,1828,4126,68951,72576,9791,8795,8279,11598,14124,19153,16662,20143,16308,8727,5649,2298,34.5,58404,2.26,31064,3.03,74065,15661,29135,29269,-1077
Davenport,IA,86,6.5,6.4,8.4,0,0.0,0,0,Davenport-IA,Iowa,78285,37.64,427,78285,37.64,104706,99685,80401,10759,380,2170,46,7255,2089,3840,48558,51127,7257,6621,6217,6833,7756,14857,12239,13794,11587,6310,4068,2146,35.2,40620,2.38,24491,3.0,44087,3467,25680,14940,5021
Peoria,IL,87,6.5,6.7,8.1,0,0.0,0,0,Peoria-IL,Illinois,85726,41.21,2023,86137,41.41,116343,115007,71740,30991,360,5240,29,5628,2528,4119,54763,60244,8661,7745,7415,8608,9691,16869,13648,14356,12941,7284,5098,2691,34.0,47152,2.36,27353,3.06,52621,5469,27349,19803,1336
South Bend,IN,88,6.5,6.2,8.2,0,0.0,0,0,South Bend-IN,Indiana,79391,38.17,712,79391,38.17,102283,101168,61199,26906,478,1318,64,13116,6979,4224,48982,52186,8259,7718,7210,6979,7557,15215,12165,12766,10670,5569,4583,2477,33.4,39760,2.48,23526,3.19,46324,6564,23795,15965,1115
Tulsa,OK,89,6.5,5.7,7.6,80,6.3,43,1,Tulsa-OK,Oklahoma,77146,37.09,236,77146,37.09,419494,391906,245309,62164,20817,9077,316,55266,31219,23004,190944,200962,29479,26792,24600,26416,31069,59063,48252,52673,44723,24778,16757,7304,34.7,163975,2.34,95246,3.04,185127,21152,87787,76188,27588
Anchorage,AK,90,6.5,6.7,6.6,111,6.5,44,0,Anchorage-AK,Alaska,84755,40.75,148,84755,40.75,303152,291826,192498,16226,23130,23580,5901,22061,6846,23645,148209,143617,21961,20618,20443,21187,24379,45440,39062,44569,33028,13309,5868,1962,33.0,107332,2.64,70544,3.19,113032,5700,64285,43047,11326
Birmingham,AL,91,6.5,6.1,7.4,102,6.3,49,4,Birmingham-AL,Alabama,77743,37.38,390,77743,37.38,214517,212237,47258,155791,445,2152,86,7704,4306,2199,99337,112900,14595,12053,11410,14600,19252,33208,24442,30298,26038,13235,8941,4165,35.4,89382,2.27,49155,3.05,108981,19599,44042,45340,2280
Milwaukee,WI,92,6.5,6.4,6.9,64,6.5,11,3,Milwaukee-WI,Wisconsin,82510,39.67,679,81874,39.36,591865,594833,266339,237769,4695,20851,241,103007,44650,20288,286949,307884,48694,43881,42379,49757,58078,96471,74163,72346,55836,26961,18223,8044,30.3,230221,2.5,130214,3.28,255569,25348,100296,129925,-2968
Little Rock,AR,93,6.4,6.0,7.6,85,6.3,45,1,Little Rock-AR,Arkansas,82909,39.86,266,82909,39.86,204049,193524,94665,81889,686,5131,153,13076,7626,3374,92245,101279,13462,13047,12688,12068,13838,31471,25563,26672,22799,11239,7007,3670,35.1,82018,2.3,47799,3.0,91288,9270,46078,35940,10525
Greensboro,NC,94,6.4,6.1,7.2,24,6.5,18,3,Greensboro-NC,North Carolina,83303,40.05,1788,83965,40.37,286435,269666,130396,109586,1385,10772,157,20336,10290,7080,126793,142873,17418,17025,16584,21535,27649,40211,35667,34388,28216,15963,10362,4648,33.5,111731,2.31,63244,3.0,124074,12343,58608,53123,16769
Salisbury,MD,95,6.4,6.8,6.1,0,0.0,0,0,Salisbury-MD,Maryland,90523,43.52,1516,90523,43.52,31937,30343,16911,10441,81,964,21,2128,943,982,14043,16300,2212,1841,1576,3090,4792,4479,3238,3213,2531,1562,1160,649,28.3,11983,2.42,6040,3.04,13401,1418,3981,8002,1594
York,PA,96,6.4,6.3,7.1,104,6.3,41,8,York-PA,Pennsylvania,89722,43.14,1804,90231,43.38,45066,43718,22398,12248,269,541,12,12458,5510,2740,21054,22664,4025,3458,3108,3625,4086,6448,5411,5478,4167,2168,1188,556,30.1,16253,2.62,9467,3.32,18496,2243,6790,9463,1348
San Diego,CA,97,6.3,7.4,3.5,32,6.8,19,29,San Diego-CA,California,126682,60.9,3874,138170,66.43,1397856,1307402,769971,87949,7696,207944,5908,376020,161246,66688,660626,646776,80792,75073,75345,90813,127987,230247,183750,171993,131765,72013,46643,20981,33.7,483092,2.6,285221,3.28,516033,32941,233158,249934,90454
Sacramento,CA,98,6.3,6.6,5.1,38,6.3,19,6,Sacramento-CA,California,126682,60.9,3874,138170,66.43,494322,466488,210006,68335,5291,85503,6655,125276,57573,33125,227101,239387,35010,31406,30253,34219,37671,77608,61485,59546,49870,25780,16049,7591,33.2,174624,2.62,103730,3.37,190911,16287,86271,88353,27834
St. Louis,MO,99,6.3,5.4,7.7,78,6.3,28,25,St. Louis-MO,Missouri,80712,38.8,868,81195,39.04,316262,319294,140267,157160,838,9291,74,11130,4102,7562,154171,165123,21089,17379,16911,22551,28852,57661,40244,44811,34621,17689,12108,5378,34.1,142057,2.16,67488,3.08,176002,33945,64425,77632,-3032
Baltimore,MD,100,6.3,5.8,6.7,83,6.1,6,94,Baltimore-MD,Maryland,90523,43.52,1516,90523,43.52,620488,620961,183830,395781,2270,14548,274,25960,11303,12955,292249,328712,41152,35441,34339,44278,56460,103564,76564,87445,68906,38552,23910,10350,34.5,249903,2.38,134038,3.14,296685,46782,119163,130740,-473
Reading,PA,101,6.3,7.0,6.9,121,6.3,41,2,Reading-PA,Pennsylvania,89722,43.14,1804,90231,43.38,90693,88082,42617,11624,794,1039,72,51230,26538,5398,42757,45325,8375,7499,7064,8115,7728,12339,10920,10339,7512,4113,2794,1284,29.0,29979,2.85,19257,3.52,34208,4229,12703,17276,2611
Chicago,IL,102,6.3,6.3,6.1,43,6.1,35,99,Chicago-IL,Illinois,85726,41.21,2023,86137,41.41,2781116,2695598,1212835,887608,13337,147164,1013,778862,360493,73148,1308072,1387526,185887,166077,164466,182933,223027,515551,378139,338737,262849,151095,89804,37033,33.1,1045560,2.52,576793,3.4,1194337,148777,469562,575998,85518
Wichita,KS,103,6.3,6.3,7.5,62,6.4,22,5,Wichita-KS,Kansas,78037,37.52,388,78037,37.52,399072,382368,275080,43807,4560,18466,336,58348,23518,16601,188523,193845,30743,28365,26728,26067,28668,56098,46999,52855,42015,22128,14919,6783,33.9,151818,2.48,94862,3.14,167310,15492,93134,58684,16704
Cleveland,OH,104,6.3,6.0,7.5,69,6.3,39,8,Cleveland-OH,Ohio,87588,42.11,1164,86664,41.67,383649,396815,147929,211672,1340,7327,120,39534,17502,10925,190285,206530,28095,25911,26292,30637,30407,53996,49555,59726,44700,24547,16264,6685,35.6,167490,2.29,89821,3.11,207536,40046,73911,93579,-13166
Virginia Beach,VA,105,6.3,6.1,5.7,54,6.1,7,9,Virginia Beach-VA,Virginia,88512,42.55,1789,90649,43.58,461663,437994,296670,85935,1685,26769,657,28987,8622,17656,214441,223553,29225,28421,29037,30380,35141,67528,59456,64868,47503,25916,14889,5630,34.9,165089,2.6,113999,3.08,177879,12790,107778,57311,23669
Providence,RI,106,6.3,6.7,6.0,119,6.3,26,6,Providence-RI,Rhode Island,88971,42.77,180,88971,42.77,181537,178042,88623,28557,2412,11380,222,67835,35222,11626,85802,92240,12352,11081,10849,18975,24568,28779,21672,19535,14727,7708,4955,2841,28.5,62718,2.6,35261,3.35,71530,8812,21891,40827,3495
Baton Rouge,LA,107,6.2,5.6,7.7,124,6.0,50,1,Baton Rouge-LA,Louisiana,80084,38.5,315,80084,38.5,230559,229493,90348,125155,486,7514,81,7653,2955,2954,110400,119093,14992,13958,13875,19546,29087,35800,24612,27900,23951,13335,8545,3892,30.8,91474,2.4,51379,3.12,100801,9327,45124,46350,1066
Allentown,PA,108,6.2,6.6,6.4,107,6.2,41,1,Allentown-PA,Pennsylvania,89722,43.14,1804,90231,43.38,122122,118032,69061,14812,893,2542,55,50461,24756,5913,56869,61163,9332,8413,8136,9435,10094,17131,14653,15377,11440,6525,4937,2559,32.9,42804,2.64,26683,3.29,46921,4117,20730,22074,4090
Springfield,MA,109,6.2,7.0,5.7,47,6.3,8,16,Springfield-MA,Massachusetts,94404,45.39,1684,94202,45.29,156409,153060,79335,34073,987,3728,128,59451,27610,7199,72573,80487,11183,11095,11433,14190,13450,20436,18986,19710,15817,8519,5678,2563,32.3,56752,2.6,36056,3.22,61706,4954,28239,28513,3349
Scranton,PA,110,6.2,6.7,7.3,101,6.2,41,0,Scranton-PA,Pennsylvania,89722,43.14,1804,90231,43.38,76271,76089,64001,4150,178,2269,32,7531,3566,1893,36647,39442,4613,3993,4161,6032,7303,9671,8574,10133,9099,5492,4484,2534,37.8,30069,2.35,17190,3.05,33853,3784,15419,14650,182
New Haven,CT,111,6.2,6.8,5.3,63,6.2,21,2,New Haven-CT,Connecticut,92237,44.34,678,92237,44.34,132866,129779,55228,45938,660,5945,71,35591,16885,5052,62508,67271,9150,7865,7650,11286,15378,24657,16288,14571,10938,6446,3756,1794,29.9,48877,2.43,26292,3.21,54967,6090,14420,34457,3087
Philadelphia,PA,112,6.2,6.1,6.2,120,6.1,41,51,Philadelphia-PA,Pennsylvania,89722,43.14,1804,90231,43.38,1587761,1526006,626221,661839,6996,96405,744,187611,90731,43070,719813,806193,101053,90827,90640,118297,146717,246062,188323,197970,160808,94764,62434,28111,33.6,599736,2.45,340354,3.2,670171,70435,324536,275200,61755
Honolulu,HI,113,6.2,6.6,3.9,103,6.6,24,5,Honolulu-HI,Hawaii,85453,41.08,160,85453,41.08,356595,337256,60409,4974,743,184950,28260,18301,2840,55080,166500,170756,16677,15860,15744,18791,24208,48743,44625,47786,44660,27163,21218,11781,41.4,129408,2.51,74688,3.24,143173,13765,56742,72666,19339
Killeen,TX,114,6.2,5.7,6.6,93,6.1,38,0,Killeen-TX,Texas,87577,42.1,2563,88720,42.65,145246,127921,57736,43610,1041,5102,1733,29345,10166,8533,62695,65226,13517,10731,9229,8975,14435,26435,16366,13429,8186,4073,2021,524,27.3,48052,2.66,33276,3.17,53913,5861,23156,24896,17325
Santa Barbara,CA,115,6.2,7.5,3.5,113,6.5,19,1,Santa Barbara-CA,California,126682,60.9,3874,138170,66.43,92661,88410,66411,1420,892,3062,116,33591,13032,3477,43874,44536,4824,4507,4324,5620,8016,14680,11561,11527,10778,5822,4149,2602,36.9,35449,2.45,18233,3.13,37820,2371,13784,21665,4251
Toledo,OH,116,6.2,6.3,7.7,89,6.2,39,0,Toledo-OH,Ohio,87588,42.11,1164,86664,41.67,279019,287208,186188,78073,1065,3264,77,21231,7411,11130,138973,148235,21226,18682,17419,22687,25691,40715,34763,39179,32102,17507,12173,5064,34.3,119730,2.33,68364,3.01,138039,18309,66460,53270,-8189
Trenton,NJ,117,6.1,6.5,5.3,0,0.0,0,0,Trenton-NJ,New Jersey,94526,45.45,1845,94662,45.51,86093,84913,22549,44160,598,1013,110,28621,13003,3480,43790,41123,6750,5894,5326,5612,7076,15008,12629,11249,7927,4074,2385,983,32.8,28578,2.79,17741,3.4,33035,4457,10953,17625,1180
New York,NY,118,6.1,6.6,3.8,50,6.3,25,214,New York-NY,New York,102130,49.1,2735,102427,49.24,8691599,8175133,3597341,2088510,57512,1038388,5147,2336076,1062334,325901,3882544,4292589,517724,473159,468154,535833,642585,1392445,1154687,1107376,890012,531461,320291,141406,35.5,3109784,2.57,1850221,3.32,3371062,261278,962892,2146892,516466
Huntington,WV,119,6.1,6.4,7.2,0,0.0,0,0,Huntington-WV,West Virginia,86216,41.45,176,86216,41.45,49968,49138,42723,4202,147,532,20,685,175,1339,23897,25241,2697,2399,2326,3689,5961,7265,5419,5944,5948,3680,2701,1109,35.4,21774,2.12,11000,2.83,25146,3372,11391,10383,830
Albuquerque,NM,120,6.1,6.1,6.2,99,6.1,46,1,Albuquerque-NM,New Mexico,79613,38.28,311,79613,38.28,567516,545852,380552,17933,25087,14450,613,255055,82058,25159,265106,280746,38000,36883,34878,37104,42276,82861,70056,75086,62809,34851,21488,9560,35.1,224330,2.4,133887,3.05,239166,14836,135267,89063,21664
Santa Rosa,CA,121,6.1,7.4,4.2,41,6.5,19,0,Santa Rosa-CA,California,126682,60.9,3874,138170,66.43,177684,167815,119158,4079,2808,8746,810,47970,23723,8491,81846,85969,11432,10817,10460,10894,11596,25093,21512,23126,20205,10683,7343,4654,36.7,63590,2.59,39231,3.18,67396,3806,34427,29163,9869
Montgomery,AL,122,6.1,5.9,7.0,0,0.0,0,0,Montgomery-AL,Alabama,77743,37.38,390,77743,37.38,207513,205764,76656,116524,512,4609,164,7998,4601,2698,96687,109077,14768,14126,13914,15134,17468,29986,26229,27545,22324,12820,8163,3287,34.1,81486,2.44,51628,3.08,92115,10629,47986,33500,1749
Lafayette,LA,123,6.1,5.7,7.5,117,6.2,50,0,Lafayette-LA,Louisiana,80084,38.5,315,80084,38.5,131191,120623,76937,37530,389,2180,45,4531,1515,2027,58564,62059,7325,6998,7273,9575,13737,17932,13502,16562,13555,7412,4996,1756,33.4,49444,2.35,28682,3.0,53356,3912,27755,21689,10568
Beaumont,TX,124,6.1,5.5,7.6,79,6.0,38,0,Beaumont-TX,Texas,87577,42.1,2563,88720,42.65,120681,118296,47044,55931,653,3893,34,15898,8388,2353,57603,60693,8582,7900,7738,9265,9999,16561,14001,16509,13349,7232,5046,2114,34.4,45648,2.48,28859,3.12,50689,5041,25788,19860,2385
Youngstown,OH,125,6.1,6.3,7.8,110,6.2,39,0,Youngstown-OH,Ohio,87588,42.11,1164,86664,41.67,61168,66982,31508,30257,237,297,17,6207,2193,2473,32970,34012,4318,4043,4161,5038,5031,8481,7844,9275,8235,4601,4015,1940,38.0,26839,2.28,15150,3.02,33123,6284,15639,11200,-5814
Los Angeles,CA,126,6.1,6.5,3.3,51,6.1,19,68,Los Angeles-CA,California,126682,60.9,3874,138170,66.43,3986442,3792621,1888158,365118,28215,426959,5577,1838822,902959,175635,1889064,1903557,251097,231528,237462,274373,314543,638900,570467,503164,374391,209059,128659,58978,34.2,1318168,2.81,807326,3.53,1413995,95827,503863,814305,193821
Detroit,MI,127,6.0,5.9,7.4,70,6.3,33,14,Detroit-MI,Michigan,86008,41.35,872,86286,41.48,656087,713777,75758,590226,2636,7559,129,48679,21569,15900,337679,376098,50146,49550,52705,65632,54067,86390,92873,97944,82545,43281,27246,11398,34.8,269445,2.59,162924,3.36,349170,79725,137730,131715,-57690
Miami,FL,128,6.0,7.1,2.8,60,5.8,13,11,Miami-FL,Florida,76936,36.99,1801,76936,36.99,449517,399457,289920,76880,1195,3953,85,279456,16684,10740,198927,200530,23882,19072,18364,21080,28628,65824,59469,56067,43084,32075,22747,9165,38.8,158317,2.47,90032,3.15,183994,25677,51186,107131,50060
Corpus Christi,TX,129,6.0,6.9,6.0,86,6.1,38,0,Corpus Christi-TX,Texas,87577,42.1,2563,88720,42.65,332403,305215,246988,13254,1940,5613,261,182181,29535,7624,149656,155559,21721,22110,21857,22049,22965,42490,37278,43222,35274,19298,12156,4795,34.9,112795,2.66,76267,3.21,125469,12674,66832,45963,27188
Jackson,MS,130,5.9,5.4,7.2,123,5.9,48,0,Jackson-MS,Mississippi,78315,37.65,160,78315,37.65,170925,173514,31961,137716,248,676,39,2723,1303,1571,80615,92899,13498,12944,12877,14706,15667,25632,20233,22741,17888,9331,5558,2439,31.3,64523,2.6,41069,3.25,74537,10014,34292,30231,-2589
El Paso,TX,131,5.9,6.7,5.6,109,6.0,38,0,El Paso-TX,Texas,87577,42.1,2563,88720,42.65,693738,649121,524764,22006,4757,7723,909,523721,71415,17547,311280,337841,50976,51620,53131,54469,48799,85841,84408,83979,63281,38375,25555,8687,32.5,216894,2.95,162049,3.47,227605,10711,131104,85790,44617
Mobile,AL,132,5.9,6.0,6.3,116,5.5,49,1,Mobile-AL,Alabama,77743,37.38,390,77743,37.38,197574,195111,87723,98691,623,3427,77,4600,1762,2808,91783,103328,13123,12581,12836,14538,15962,26931,22437,27134,22822,13608,9087,4052,35.7,78959,2.4,48689,3.07,89127,10168,44520,34439,2463
Rockford,IL,133,5.8,5.8,7.4,0,0.0,0,0,Rockford-IL,Illinois,85726,41.21,2023,86137,41.41,150027,152871,99517,31359,614,4443,41,24085,11413,5484,73867,79004,11665,10925,10669,10383,10073,21075,19339,20532,17013,9959,7268,3970,35.8,59973,2.48,37044,3.14,66700,6727,34998,24975,-2844
Gulfport,MS,134,5.8,5.7,6.3,0,0.0,0,0,Gulfport-MS,Mississippi,78315,37.65,160,78315,37.65,72324,67793,38544,24453,263,1149,94,3519,1442,1848,33249,34544,5450,4687,4221,4557,5278,10366,8526,9399,7472,4392,2598,847,34.3,26307,2.5,17029,3.05,31602,5295,14843,11464,4531
Vallejo,CA,135,5.8,5.8,4.6,0,0.0,0,0,Vallejo-CA,California,126682,60.9,3874,138170,66.43,121644,115942,38064,25572,757,28895,1239,26165,12759,8656,56277,59665,7567,7230,7267,8226,8288,15515,14538,17508,15804,7710,4327,1962,37.8,40559,2.82,27788,3.36,44433,3874,24188,16371,5702
Fresno,CA,136,5.8,6.2,4.7,98,5.5,19,1,Fresno-CA,California,126682,60.9,3874,138170,66.43,525594,494665,245306,40960,8525,62528,849,232055,111984,24513,243124,251541,43911,40087,39634,43867,43925,75463,59613,57552,44512,24030,14866,7205,29.4,158349,3.07,111529,3.62,171288,12939,77757,80592,30929
Las Vegas,NV,137,5.8,6.4,5.4,57,6.5,37,0,Las Vegas-NV,Nevada,93869,45.13,278,93869,45.13,642798,583756,362264,64858,4125,35620,3426,183859,84785,28678,294100,289656,42155,41483,41034,40523,36749,82837,85744,80386,62802,40857,22407,6779,35.8,211689,2.71,138668,3.29,243701,32012,119550,92139,59042
New Orleans,LA,138,5.7,5.8,5.4,118,5.7,50,0,New Orleans-LA,Louisiana,80084,38.5,315,80084,38.5,378952,343829,113428,206871,1047,9970,134,18051,6459,5920,166248,177581,22040,19518,18884,24075,32588,56416,42478,48807,41384,20910,11725,5004,34.7,142158,2.33,76643,3.09,189896,47738,68003,74155,35123
McAllen,TX,139,5.7,7.1,5.4,92,5.9,38,0,McAllen-TX,Texas,87577,42.1,2563,88720,42.65,144494,129877,108913,1215,487,3372,25,109910,13473,2392,62044,67833,10541,11112,10921,10249,8702,18611,17880,15384,12362,7470,4856,1789,32.2,41573,3.1,31823,3.58,45862,4289,25472,16101,14617
Brownsville,TX,140,5.6,7.2,5.4,81,5.7,38,0,Brownsville-TX,Texas,87577,42.1,2563,88720,42.65,188159,175023,153987,709,614,1189,38,163109,15935,2551,82686,92337,15728,17258,16794,15584,11794,23497,23040,18859,15141,9513,5815,2000,29.5,49871,3.48,41047,3.88,53936,4065,31038,18833,13136
Salinas,CA,141,5.6,7.2,3.6,115,5.6,19,2,Salinas-CA,California,126682,60.9,3874,138170,66.43,155320,150441,68973,2993,1888,9438,478,112799,59041,7630,76007,74434,14362,13080,12076,12957,12754,24847,20131,17253,11723,5761,3804,1693,28.8,40387,3.66,31515,4.05,42651,2264,18198,22189,4879
Fayetteville,NC,142,5.5,5.5,5.7,0,0.0,0,0,Fayetteville-NC,North Carolina,83303,40.05,1788,83965,40.37,203211,200564,91653,84040,2165,5291,896,20256,6622,9897,96976,103588,17066,13847,12931,14640,22279,33817,23332,24517,18701,10941,6501,1992,29.9,78274,2.45,51163,3.02,87005,8731,39345,38929,2647
Memphis,TN,143,5.5,4.1,6.2,106,5.6,30,4,Memphis-TN,Tennessee,83521,40.15,551,83521,40.15,668228,646889,190120,409687,1549,10146,300,41994,26163,8924,307019,339870,49334,44404,45249,49833,52918,98484,81767,87145,70885,35363,22000,9507,33.2,250344,2.52,152993,3.21,291883,41539,129898,120446,21339
Flint,MI,144,5.5,4.9,7.0,114,5.7,33,0,Flint-MI,Michigan,86008,41.35,872,86286,41.48,91903,102434,38328,57939,550,464,16,3976,1169,3968,49140,53294,8177,7570,7298,8705,7735,13443,12765,14600,11142,5860,3766,1373,33.7,40472,2.45,23949,3.13,51321,10849,22364,18108,-10531
Shreveport,LA,145,5.5,5.4,6.1,122,5.4,50,0,Shreveport-LA,Louisiana,80084,38.5,315,80084,38.5,199308,199311,82027,109022,725,2628,97,5018,1854,2958,93354,105957,14474,13886,13287,14201,15606,29108,22939,26383,23196,13009,9095,4127,34.7,80651,2.4,49572,3.06,88253,7602,44723,35928,-3
Modesto,CA,146,5.5,5.8,4.8,96,5.5,19,0,Modesto-CA,California,126682,60.9,3874,138170,66.43,211110,201165,130833,8396,2494,13557,1924,71381,31244,12717,97989,103176,14786,14614,14902,16010,14538,27610,25506,27634,22057,12258,7743,3507,34.3,69107,2.87,48908,3.38,75044,5937,39422,29685,9945
Stockton,CA,147,5.4,5.1,4.8,90,5.4,19,0,Stockton-CA,California,126682,60.9,3874,138170,66.43,312272,291707,108044,35548,3086,62716,1822,117590,60332,20159,142925,148782,24593,23926,23687,26042,23216,40162,36529,35398,28902,15823,9192,4237,30.9,90605,3.16,65778,3.69,99637,9032,46738,43867,20565
Bakersfield,CA,148,5.4,5.2,5.1,94,5.3,19,0,Bakersfield-CA,California,126682,60.9,3874,138170,66.43,381201,347483,197349,28368,5102,21432,478,158205,77686,17068,170196,177287,31344,29703,29763,30191,25846,51052,45972,43251,31025,16309,9190,3837,30.1,111132,3.1,83154,3.56,120725,9593,66323,44809,33718
Visalia,CA,149,5.2,6.4,4.5,0,0.0,0,0,Visalia-CA,California,126682,60.9,3874,138170,66.43,132318,124442,80203,2627,1730,6768,164,57262,27249,5701,60696,63746,10747,10312,10070,9952,8786,18215,15707,15540,12239,6851,4164,1859,31.6,41349,2.98,30636,3.42,44205,2856,25380,15969,7876
